metric,unit,fog_n,fog_mean,fog_std,fog_median,fog_q25,fog_q75,nofog_n,nofog_mean,nofog_std,nofog_median,nofog_q25,nofog_q75,test,n_pairs,statistic,p_value,significant,cohens_d,effect_size
Total Distance Traveled,m,26,6.052335259206434,5.305980888781284,6.16329545404111,9.876146681756305e-06,10.146581365526824,26,6.189275734553484,5.862630410554155,6.099491509215865,7.15163629375149e-05,10.99216451113937,Wilcoxon signed-rank,26,149.0,0.9772063994750985,False,-0.03204233730665431,negligible
Net Displacement,m,26,1.4139729573274258,1.5369596180959049,0.8969297919759175,3.725290249889657e-09,2.5590940711713097,26,1.3502777164531836,1.4771887860922184,1.1433048334335512,4.0978193248386585e-08,2.1630261324971345,Paired t-test,26,0.23406977955439678,0.8168370743183639,False,0.046813955910879355,negligible
Average Speed,km/h,26,1.0626723348044562,0.9334533830782555,1.1253309773545328,1.8104505075932163e-06,1.8371946744413934,26,1.0257992798260918,1.0436941962700867,0.8212530424358242,1.2434039438939336e-05,1.853633089583648,Wilcoxon signed-rank,26,128.0,0.5296296702875959,False,0.04990809390758033,negligible
Peak Speed,km/h,26,1324944.110797682,1795021.9442489664,1069433.064031086,214.5767219907668,1589356.5439582318,26,717887.9082251273,1096681.7616509881,251560.58391278214,269.4733146868286,1001640.4702946763,Wilcoxon signed-rank,26,95.0,0.11608313373865504,False,0.2894798374471641,small
Average Acceleration,m/s²,26,1223619981069.8982,2005277490693.1545,893055665533.7131,118160009.08697768,1234925403590.1365,26,545435721697.9265,772390827864.3108,257809284827.9581,257393500.9451176,801457900622.9869,Wilcoxon signed-rank,26,90.0,0.0864762654936656,False,0.3577670429453119,small
Peak Acceleration,m/s²,26,362875045894995.7,499327176541029.44,292347016795662.4,59604644997.43522,402447889318244.25,26,195041163380233.0,301142312020168.7,68117353329793.28,60068499752.14465,272757083550739.16,Wilcoxon signed-rank,26,94.0,0.10959858339911595,False,0.2886486616299869,small
Cumulative Rotation,rad,26,10.073601598624235,11.014265490226723,8.49712358482854,0.0002087435639358,17.13882949752964,26,11.625439085291996,10.440496046288029,11.435375790400702,0.006142171936298075,19.739692843778055,Paired t-test,26,-0.7436409353698149,0.4640258890090515,False,-0.148728187073963,negligible
Average Angular Speed,rad/s,26,0.49714215422250696,0.5513322243049058,0.4151796859660384,1.0553720955972138e-05,0.8681562865567202,26,0.5401229934940062,0.5145101684713276,0.44014330117062644,0.000285473489951903,0.8587255640823371,Paired t-test,26,-0.4030838718680023,0.690313066702177,False,-0.08061677437360046,negligible
Peak Angular Speed,rad/s,26,397994.75680957973,443980.88548006985,318315.2342139405,344.8934115496939,777937.2491255675,26,384392.92458974285,399101.6286613156,258371.89283657243,915.9809043930491,713706.8334660941,Wilcoxon signed-rank,26,140.0,0.5449095877922505,False,0.030498857628605724,negligible
Workspace Volume,m³,26,1.6805445539554522,2.7318523726796817,0.3814372753977555,5.293955890757093e-23,2.1067379870711287,26,1.450499525455855,2.1075991157118867,0.459170920314809,3.176373547470461e-21,1.8862031901914975,Wilcoxon signed-rank,26,131.0,0.8314013177040228,False,0.12468445297767942,negligible
Tracking Jitter,m,26,0.009336063967774224,0.02248144516090531,0.0040527249793359,3.323012488655122e-08,0.006554830768856875,26,0.010681881227879851,0.027831627988259673,0.0044385277658092505,8.673089811699783e-08,0.005790717776283625,Wilcoxon signed-rank,26,129.0,0.5485062355001472,False,-0.037611561442909947,negligible
