metric,unit,fog_n,fog_mean,fog_std,fog_median,fog_q25,fog_q75,nofog_n,nofog_mean,nofog_std,nofog_median,nofog_q25,nofog_q75,test,n_pairs,statistic,p_value,significant,cohens_d,effect_size
Total Body Distance,m,13,7.6573070984923355,3.52967641380824,7.886398789821746,4.990789085436447,11.124213343348302,13,8.8710688750794,4.290077007968504,9.776932775693604,5.295732900856768,10.77158391997764,Paired t-test,13,-1.1169577559482164,0.2858776533164755,False,-0.3224379305350715,small
Net Body Displacement,m,13,2.1690166001477937,1.4875413701454925,2.047922728755676,1.2315198925323627,2.6896420232819636,13,1.8901301496789953,1.4857019507903653,1.9199764465752327,1.0758542792140091,2.3110475784342506,Paired t-test,13,0.7242167921496059,0.48281391843634647,False,0.2090633799496111,small
Average Body Speed,km/h,13,1.349850033911567,0.6242608717619824,1.382029676452236,0.9213764465421131,1.8673490644434336,13,1.5238042546714803,0.8445418406435172,1.581095473137226,0.9024090083743256,1.9661657369066536,Paired t-test,13,-0.8771954471315545,0.3976023061470907,False,-0.25322451376665855,small
Peak Body Speed,km/h,13,989606.1079462153,628857.1221978366,910963.0288275628,535680.1586766493,1248636.0084304058,13,795461.7376302805,501746.2011708708,592488.7203341316,413505.76596097933,1021727.3763800302,Paired t-test,13,0.7272426126839172,0.48102541761082573,False,0.20993685909961315,small
Cumulative Head Rotation,rad,13,25.805370009521305,9.212744968812693,25.924461799899916,23.431986667867115,30.194244472849302,13,22.36254643317053,7.136012746217328,21.14834646264193,17.75319313819188,23.98065549854201,Paired t-test,13,1.3935739651443002,0.18871920364914774,False,0.402290151955858,small
Average Head Angular Speed,rad/s,13,1.2666242907158645,0.4679479902227384,1.308787449510295,1.0781187380783364,1.4856447782350573,13,1.0441654578526054,0.3781679002760583,0.998310980331612,0.8266978338634171,1.2101663049324791,Paired t-test,13,1.7124060725456538,0.11251720471343354,False,0.4943290534730915,small
Peak Head Angular Speed,rad/s,13,821111.0358026389,479067.79694012075,869718.7118112738,527839.3992977443,1041427.0468699952,13,530213.6214139537,254117.01232288516,444285.0074998008,350279.5945466077,772540.6311566466,Paired t-test,13,1.8165455615797115,0.09433279153397575,False,0.5243915344866331,medium
Yaw Range,rad,13,6.2608889844813165,0.0502271346661165,6.277706022704912,6.270587508779293,6.279399429797681,13,6.277906961381256,0.0037578443594796953,6.279287778971138,6.274906277981497,6.279673732529368,Wilcoxon signed-rank,13,32.0,0.375732421875,False,-0.3420859476159236,small
Pitch Range,rad,13,2.927212480532523,0.5634291505693747,3.087518802060511,3.044239118929436,3.116601533277825,13,3.0265075572200923,0.1312957041063142,3.0751369604760788,3.0413328729488485,3.0968649215844337,Wilcoxon signed-rank,13,41.0,0.786865234375,False,-0.17527323385849047,negligible
Roll Range,rad,13,6.278833914413754,0.009015203669275294,6.2820742394781135,6.280059238268671,6.282397425108082,13,6.278874753483345,0.004579025505062071,6.279830553630624,6.278631508716905,6.281867099616103,Wilcoxon signed-rank,13,29.0,0.2734375,False,-0.0037767280622938728,negligible
