metric,unit,fog_n,fog_mean,fog_std,fog_median,fog_q25,fog_q75,nofog_n,nofog_mean,nofog_std,nofog_median,nofog_q25,nofog_q75,test,n_pairs,statistic,p_value,significant,cohens_d,effect_size
Total Body Distance,m,11,6.438270085540385,3.6561448656083617,6.672669086786863,3.60475135119378,9.431176722016737,11,7.0839680181928255,3.3895205986842747,7.876040084147495,4.690797364776245,9.36009543667884,Paired t-test,11,-0.5249981994911697,0.6110252544222563,False,-0.1660190077879548,negligible
Net Body Displacement,m,11,2.035928755130887,1.4509027035533744,1.70138173911667,1.289078327127752,3.060395364780698,11,2.041480542664383,1.6527184818540537,2.0815051984245145,0.27952306746089006,3.392943000256312,Paired t-test,11,-0.009085272966140284,0.9929297952279341,False,-0.002873015573735713,negligible
Average Body Speed,km/h,11,1.3270791663763772,0.7183217846496266,1.4088920065942936,0.761291896844811,1.9911929537515687,11,1.496921980229022,0.7160900417846271,1.6629762054504975,0.9907478947919981,1.9738998197882738,Paired t-test,11,-0.6812854576929634,0.5111589416794368,False,-0.21544137830600482,small
Peak Body Speed,km/h,11,764567.7013855312,512349.63599544216,810087.3438476177,333534.659030369,1143502.2855872102,11,674111.5274998833,568459.0322638967,585391.8809110653,300801.0066751743,751589.1179598141,Paired t-test,11,0.3162715560896485,0.7582992726612199,False,0.1000138476368986,negligible
Cumulative Head Rotation,rad,11,21.858439879641846,10.137135286069068,22.52445972867379,14.478602839812762,26.00779954838668,11,16.9001035259367,5.735654598602228,15.841629456545167,13.287533640471272,18.331602449455186,Paired t-test (one-tailed: fog > nofog),11,1.6613497853609303,0.06381302579466944,False,0.5253649311972401,medium
Average Head Angular Speed,rad/s,11,1.2526307663261123,0.5393520635579422,1.3195348405784293,0.8497550156175553,1.52523421818361,11,0.9924378069707461,0.3384297914613756,0.9291278273633528,0.7795995975496415,1.0773764339767475,Paired t-test (one-tailed: fog > nofog),11,1.66309917881109,0.06363510784335474,False,0.5259181379798686,medium
Peak Head Angular Speed,rad/s,11,719134.911996556,496345.8435086509,696498.708924402,403005.11050644814,959196.716668652,11,439087.1699840279,290848.9164316288,316880.7021150941,275987.1416814453,492923.9089989769,Paired t-test,11,1.4341623337856386,0.18204776577026865,False,0.4535219509185272,small
Yaw Range,rad,11,2.8677968842149255,0.6126892961412311,3.087518802060511,3.024218538164015,3.113597777765105,11,2.9110331959841655,0.36956331688140037,3.06873025425822,2.8855672225155153,3.101116588741848,Wilcoxon signed-rank,11,26.0,0.5771484375,False,-0.05941942425505062,negligible
Pitch Range,rad,11,6.255812072779622,0.05382397317047639,6.274788823815335,6.264481912820025,6.2770628759454645,11,6.276289404383918,0.007482497698329351,6.2779233200530165,6.2745520687623,6.280784403255083,Wilcoxon signed-rank,11,11.0,0.0537109375,False,-0.3871152722968079,small
Roll Range,rad,11,6.27779733374704,0.00955010306343666,6.2810707961874535,6.279126313584809,6.281660849671306,11,6.278522808502464,0.0048811730643844855,6.279607196060388,6.277966722372151,6.281368720992136,Wilcoxon signed-rank,11,25.0,0.51953125,False,-0.06293482070962632,negligible
Cumulative Vertical Rotation (Pitch),rad,11,24.467089228659475,12.127082668896028,23.45806754211679,17.950850997547196,29.56538667657747,11,18.288486950316436,5.092716598450441,18.289929474235805,14.87028178236985,21.91294205320566,Paired t-test (one-tailed: fog > nofog),11,1.7771696650291058,0.05295638977568884,False,0.5619903930050463,medium
Cumulative Horizontal Rotation (Yaw),rad,11,16.64312395479001,7.8496031661685395,19.51716853456747,10.158417724561442,20.458425656204078,11,12.846850395887156,5.526430849555905,13.39282356254255,9.513161492913255,14.704679644952915,Paired t-test (one-tailed: fog > nofog),11,1.6992257044474783,0.060059288656889226,False,0.5373423484758139,medium
Viewing Sphere Coverage,%,11,1.5261663384765662,0.390830133547118,1.6810670941788852,1.440951805149366,1.7169548560145769,11,1.418485057461856,0.2583915376730443,1.4804423698083384,1.2759732370936572,1.5733480298546678,Paired t-test (one-tailed: fog > nofog),11,0.8571554448534906,0.20571495510911886,False,0.2710563514551883,small
Viewing Sphere Coverage (with FOV),%,11,81.43047245142637,19.36498084067674,90.01536352869394,74.62521695889143,92.93440186008505,11,70.57575799741576,11.919866202279445,69.66725664551933,67.18121679386968,77.31754850436587,Paired t-test (one-tailed: fog > nofog),11,1.8283889574582428,0.04871604968679763,True,0.5781873554268754,medium
