metric,unit,fog_n,fog_mean,fog_std,fog_median,fog_q25,fog_q75,nofog_n,nofog_mean,nofog_std,nofog_median,nofog_q25,nofog_q75,test,n_pairs,statistic,p_value,significant,cohens_d,effect_size
Total Body Distance,m,10,6.887962146755944,3.5186712816047647,6.992507915381745,4.007794963145578,9.5757436940008,10,6.769279085144021,3.3992694506790166,7.269810120330575,4.35682703725841,8.436489356688167,Paired t-test,10,0.11141633509461345,0.9137314240506639,False,0.037138778364871144,negligible
Net Body Displacement,m,10,2.115040778196873,1.504169324484805,1.7064075495540734,1.3455580293929035,3.0925173719229577,10,1.8609356509636839,1.6237533143069682,2.002172365194371,0.2543888137513672,2.896072410075954,Paired t-test,10,0.41551206532994894,0.6874986578966202,False,0.13850402177664964,negligible
Average Body Speed,km/h,10,1.4188615217082516,0.6858264908927961,1.4766957181034088,0.8464254916391507,2.0222693555738687,10,1.4306720672338007,0.718412901434274,1.535139650403565,0.9203235998333837,1.7809251792045175,Paired t-test,10,-0.05540754278547762,0.9570243096993515,False,-0.01846918092849254,negligible
Peak Body Speed,km/h,10,838138.5941090137,474883.2730111806,860525.1863375902,482931.10262306,1156890.41255747,10,556570.1627293217,436106.47859976377,499448.82343602227,271258.2581187487,662191.0991128423,Paired t-test,10,1.196938306714939,0.2619064754055438,False,0.3989794355716464,small
Cumulative Head Rotation,rad,10,23.516915219825083,8.975619249086305,23.879699806031773,17.82294731091097,26.255808924477854,10,17.467067197523058,5.711762504845338,15.910835377127434,13.895129108233032,18.513146619429776,Paired t-test (one-tailed: fog > nofog),10,1.9700346513783544,0.04016882226626238,True,0.6566782171261182,medium
Average Head Angular Speed,rad/s,10,1.3470120342229415,0.4629789861277209,1.399491283905025,1.0463009561253729,1.5393540618076198,10,1.0258369182841836,0.3370859052176938,0.9331868256379725,0.8145236519597794,1.0879827691833661,Paired t-test (one-tailed: fog > nofog),10,2.0163884824122915,0.03727770924141466,True,0.6721294941374305,medium
Peak Head Angular Speed,rad/s,10,788791.1495176661,463066.21879086684,740213.8946610293,442649.01736115385,1000311.8817693236,10,428839.6059326154,304481.2600155418,298010.8579192238,274946.150339022,416831.65597244084,Paired t-test,10,1.8273773487313527,0.10091494065039784,False,0.6091257829104509,medium
Yaw Range,rad,10,3.0487573821765745,0.12984800327147195,3.0907221829315024,3.0549587656215524,3.115099655521465,10,2.896783769043822,0.3863555319118108,3.0724933756565447,2.8076843972988486,3.1032424223205552,Wilcoxon signed-rank,10,15.0,0.232421875,False,0.3761450543827369,small
Pitch Range,rad,10,6.271809540920539,0.009540046106338544,6.275152615942417,6.2707453529436075,6.277812968091447,10,6.275666264612655,0.007580416060530669,6.276764576549721,6.274374964152701,6.279665420335101,Paired t-test,10,-1.8470412835342405,0.09781030058311652,False,-0.6156804278447469,medium
Roll Range,rad,10,6.280627648644094,0.0018520145010336422,6.281206971578545,6.280250597581946,6.281690194580685,10,6.278116436585135,0.004945180706433424,6.279423946414319,6.277634329199774,6.28079429413159,Paired t-test,10,1.3545795153491114,0.20857682258717566,False,0.45152650511637044,small
Cumulative Vertical Rotation (Pitch),rad,10,26.31072664924499,11.03918000848811,26.43157846077552,19.67152240954048,29.58816799228158,10,18.62557348679748,5.2372450018314805,18.63838155415657,14.992386951944338,22.883239958514945,Paired t-test (one-tailed: fog > nofog),10,2.218598626662281,0.026843345583651264,True,0.7395328755540936,medium
Cumulative Horizontal Rotation (Yaw),rad,10,18.000101115990745,6.7791356946720285,19.56246406434792,12.389584865982334,20.869635183855394,10,13.176520353227085,5.710218214007585,13.41740273571039,10.04034567890513,15.224133509840138,Paired t-test (one-tailed: fog > nofog),10,2.19923050893726,0.027705029782183612,True,0.73307683631242,medium
Viewing Sphere Coverage,%,10,1.628056935323523,0.20696097942564018,1.6893062600516013,1.527440550038031,1.7266503417482066,10,1.4355792026750014,0.2657314411514651,1.5071383038264703,1.3470100887590644,1.5877392966951458,Paired t-test (one-tailed: fog > nofog),10,1.8783221141916606,0.04652757016800227,True,0.6261073713972202,medium
Viewing Sphere Coverage (with FOV),%,10,86.3514596506982,10.986113345209356,90.51669399073133,82.22163748634546,93.7680321726616,10,71.03174443494993,12.463103338204053,70.25955697920259,68.43312186194908,77.67447537612478,Paired t-test (one-tailed: fog > nofog),10,3.5416288695686386,0.0031489985461827393,True,1.1805429565228793,large
