metric,unit,fog_n,fog_mean,fog_std,fog_median,fog_q25,fog_q75,nofog_n,nofog_mean,nofog_std,nofog_median,nofog_q25,nofog_q75,test,n_pairs,statistic,p_value,significant,cohens_d,effect_size
Total Body Distance,m,10,6.167892816289563,3.7361972249440325,5.494731516332727,3.454729375673383,9.118319685482804,10,6.7291721920086065,3.3506498586675257,7.269810120330575,4.35682703725841,8.436489356688167,Paired t-test,10,-0.4137689132663773,0.6887293394296291,False,-0.13792297108879242,negligible
Net Body Displacement,m,10,1.927057692737454,1.4812669744681666,1.5417847336674249,1.2669434257993888,2.674971852870003,10,1.9334409700768014,1.700679713319872,2.002172365194371,0.2543888137513672,3.3026725076501213,Paired t-test,10,-0.009448745923856996,0.9926672347062315,False,-0.0031495819746189986,negligible
Average Body Speed,km/h,10,1.2668830680033183,0.7273444189878496,1.1596439589258207,0.729386836050674,1.9261341754502574,10,1.421639543513042,0.7074547884150603,1.535139650403565,0.9203235998333837,1.7809251792045175,Paired t-test,10,-0.5625386441220013,0.5874852421093083,False,-0.1875128813740004,negligible
Peak Body Speed,km/h,10,760015.7371393226,539829.4229982649,762626.5611657446,280729.6023808346,1156890.41255747,10,682983.4921587652,598405.1415001313,502997.2431475555,271258.2581187487,784671.0642535149,Paired t-test,10,0.2438924064695583,0.8127829105185302,False,0.08129746882318609,negligible
Cumulative Head Rotation,rad,10,21.393902037549132,10.561342630028356,22.07793370233475,13.441173998444448,25.442570568000686,10,16.793262467579773,6.034361656860351,15.531579789862723,13.204802742414934,18.0160284164807,Paired t-test (one-tailed: fog > nofog),10,1.404461940416103,0.09686966340466881,False,0.468153980138701,small
Average Head Angular Speed,rad/s,10,1.2225464524155605,0.5587137242373531,1.2943428625561624,0.7886237000984004,1.492607830009598,10,0.9860652113114696,0.35603996969564344,0.9099243830824687,0.77483711815154,1.0582532842706367,Paired t-test (one-tailed: fog > nofog),10,1.383217222786003,0.09997209820455054,False,0.46107240759533435,small
Peak Head Angular Speed,rad/s,10,686905.6985092121,510917.7495733356,612169.0541110731,397381.554068527,853707.0599498958,10,449548.72684339463,304392.3022429977,298010.8579192238,274946.150339022,517243.359748565,Paired t-test,10,1.1267520686136656,0.28899195230175395,False,0.37558402287122183,small
Yaw Range,rad,10,2.8424290218053234,0.6397129223596052,3.0873182538792063,3.0142082477813044,3.106426907639912,10,2.8915996899926553,0.38358364650293525,3.061128859822908,2.8076843972988486,3.0917128154520426,Wilcoxon signed-rank,10,23.0,0.6953125,False,-0.06445165093616316,negligible
Pitch Range,rad,10,6.253914397676051,0.056346223466768416,6.273367646753025,6.261429114840391,6.277812968091447,10,6.27595429644708,0.007799750792518473,6.276764576549721,6.274374964152701,6.28133973861794,Wilcoxon signed-rank,10,10.0,0.083984375,False,-0.39900957725368497,small
Roll Range,rad,10,6.277757728231648,0.010065740241969242,6.281206971578545,6.280250597581946,6.281690194580685,10,6.27864489574997,0.005127474170088387,6.280086672741123,6.278783805729741,6.281617910304119,Wilcoxon signed-rank,10,23.0,0.6953125,False,-0.07345234179897446,negligible
Cumulative Vertical Rotation (Pitch),rad,10,23.50085338448293,12.328666021645612,23.30421758149687,17.6703228267733,29.4911403787355,10,18.12010102108937,5.3358192455802715,16.89532567215594,14.846611880801804,22.636861806387508,Paired t-test (one-tailed: fog > nofog),10,1.4383173225414068,0.09209704175424378,False,0.4794391075138022,small
Cumulative Horizontal Rotation (Yaw),rad,10,16.34383569017887,8.20778504075042,18.106741934781446,9.760622565353176,20.86257343216213,10,12.958248812915418,5.812336712587458,13.41740273571039,9.494666828125958,15.224133509840138,Paired t-test (one-tailed: fog > nofog),10,1.394495229088274,0.09831468239674443,False,0.46483174302942465,small
Viewing Sphere Coverage,%,10,1.5051483895760396,0.4053652637541456,1.6376535030360408,1.4088406596808944,1.6975592698915671,10,1.4128503883614898,0.2716553009615585,1.5071383038264703,1.261758421212029,1.5877392966951458,Paired t-test (one-tailed: fog > nofog),10,0.6696028456663035,0.2599590606115787,False,0.2232009485554345,small
Viewing Sphere Coverage (with FOV),%,10,80.11335344804519,19.886334107176637,89.18253347425349,71.84835101740903,91.20486203939113,10,69.97296432107252,12.38665266870444,69.18006209815991,66.5985552079719,76.23651601413422,Paired t-test (one-tailed: fog > nofog),10,1.5563111875694533,0.07702936060467781,False,0.5187703958564844,medium
