metric,unit,fog_n,fog_mean,fog_std,fog_median,fog_q25,fog_q75,nofog_n,nofog_mean,nofog_std,nofog_median,nofog_q25,nofog_q75,test,n_pairs,statistic,p_value,significant,cohens_d,effect_size
Total Body Distance,m,10,6.987793586456895,3.60288401540487,6.992507915381745,4.007794963145578,10.035345547789797,10,6.7291721920086065,3.3506498586675257,7.269810120330575,4.35682703725841,8.436489356688167,Paired t-test,10,0.24611005412858877,0.8111181235338027,False,0.08203668470952959,negligible
Net Body Displacement,m,10,2.0491839142053934,1.4690620455754708,1.7064075495540734,1.3455580293929035,2.863631197659738,10,1.9334409700768014,1.700679713319872,2.002172365194371,0.2543888137513672,3.3026725076501213,Paired t-test,10,0.18280884059668165,0.8589997523515832,False,0.06093628019889389,negligible
Average Body Speed,km/h,10,1.4403162021186307,0.7066008984347348,1.4766957181034088,0.8464254916391507,2.1210266550071095,10,1.421639543513042,0.7074547884150603,1.535139650403565,0.9203235998333837,1.7809251792045175,Paired t-test,10,0.08876260098678984,0.9312143734665287,False,0.02958753366226328,negligible
Peak Body Speed,km/h,10,870702.1946226589,483826.53454644483,1013844.5302371271,482931.10262306,1161639.7418918142,10,682983.4921587652,598405.1415001313,502997.2431475555,271258.2581187487,784671.0642535149,Paired t-test,10,0.7344200977752634,0.4813882548668581,False,0.24480669925842113,small
Cumulative Head Rotation,rad,10,22.340553936011265,9.305473022739168,22.07793370233475,15.193519227460492,25.442570568000686,10,16.793262467579773,6.034361656860351,15.531579789862723,13.204802742414934,18.0160284164807,Paired t-test (one-tailed: fog > nofog),10,1.808785388273955,0.051967333702410946,False,0.602928462757985,medium
Average Head Angular Speed,rad/s,10,1.2782189916682156,0.4796997338471441,1.2943428625561624,0.8921620215772454,1.492607830009598,10,0.9860652113114696,0.35603996969564344,0.9099243830824687,0.77483711815154,1.0582532842706367,Paired t-test (one-tailed: fog > nofog),10,1.844897134972609,0.04907222051181986,True,0.6149657116575364,medium
Peak Head Angular Speed,rad/s,10,727515.3825565362,466450.9626393536,612169.0541110731,417856.51185139176,853707.0599498958,10,449548.72684339463,304392.3022429977,298010.8579192238,274946.150339022,517243.359748565,Paired t-test,10,1.4039526793358281,0.19388610609939763,False,0.46798422644527604,small
Yaw Range,rad,10,3.03636450070961,0.12803788902053506,3.0873182538792063,3.0142082477813044,3.106426907639912,10,2.8915996899926553,0.38358364650293525,3.061128859822908,2.8076843972988486,3.0917128154520426,Wilcoxon signed-rank,10,20.0,0.4921875,False,0.35566900613188657,small
Pitch Range,rad,10,6.272440915349259,0.009958860980973242,6.2755395498615005,6.2707453529436075,6.279717356217455,10,6.27595429644708,0.007799750792518473,6.276764576549721,6.274374964152701,6.28133973861794,Paired t-test,10,-1.674568527015851,0.128341962819902,False,-0.5581895090052836,medium
Roll Range,rad,10,6.28093824070612,0.0016475723877253869,6.281321228245421,6.2808862056881924,6.281690194580685,10,6.27864489574997,0.005127474170088387,6.280086672741123,6.278783805729741,6.281617910304119,Paired t-test,10,1.2150072892162973,0.25527574444067697,False,0.40500242973876577,small
Cumulative Vertical Rotation (Pitch),rad,10,24.51541427125926,11.086095960760884,23.30421758149687,17.6703228267733,29.4911403787355,10,18.12010102108937,5.3358192455802715,16.89532567215594,14.846611880801804,22.636861806387508,Paired t-test (one-tailed: fog > nofog),10,1.8611409165406199,0.04781971101491905,True,0.6203803055135401,medium
Cumulative Horizontal Rotation (Yaw),rad,10,17.192592669553356,7.038594139648991,18.106741934781446,11.105736566365366,20.86257343216213,10,12.958248812915418,5.812336712587458,13.41740273571039,9.494666828125958,15.224133509840138,Paired t-test (one-tailed: fog > nofog),10,1.941922457336886,0.04202481259365772,True,0.647307485778962,medium
Viewing Sphere Coverage,%,10,1.5964357494257766,0.21265572203644803,1.6376535030360408,1.4413940003998553,1.6975592698915671,10,1.4128503883614898,0.2716553009615585,1.5071383038264703,1.261758421212029,1.5877392966951458,Paired t-test (one-tailed: fog > nofog),10,1.7964567671060985,0.05299161936502026,False,0.5988189223686996,medium
Viewing Sphere Coverage (with FOV),%,10,83.9479938361242,11.592952271608054,89.18253347425349,72.96999046508779,91.20486203939113,10,69.97296432107252,12.38665266870444,69.18006209815991,66.5985552079719,76.23651601413422,Paired t-test (one-tailed: fog > nofog),10,3.1471146887985912,0.005896091801769838,True,1.0490382295995304,large
