metric,unit,fog_n,fog_mean,fog_std,fog_median,fog_q25,fog_q75,nofog_n,nofog_mean,nofog_std,nofog_median,nofog_q25,nofog_q75,test,n_pairs,statistic,p_value,significant,cohens_d,effect_size
Total Body Distance,m,10,6.896905453776784,3.455228814377557,6.992507915381745,4.007794963145578,10.035345547789797,10,6.7291721920086065,3.3506498586675257,7.269810120330575,4.35682703725841,8.436489356688167,Paired t-test,10,0.16482575133192431,0.8727237798805509,False,0.05494191711064144,negligible
Net Body Displacement,m,10,2.086631652582688,1.4534774775647983,1.7096294367744533,1.4619862309428022,2.863631197659738,10,1.9334409700768014,1.700679713319872,2.002172365194371,0.2543888137513672,3.3026725076501213,Paired t-test,10,0.24372079286498316,0.8129117823174671,False,0.08124026428832773,negligible
Average Body Speed,km/h,10,1.456226051154736,0.7293944593385204,1.4766957181034088,0.8464254916391507,2.1210266550071095,10,1.421639543513042,0.7074547884150603,1.535139650403565,0.9203235998333837,1.7809251792045175,Paired t-test,10,0.16082492095753784,0.8757833705581601,False,0.05360830698584594,negligible
Peak Body Speed,km/h,10,870702.1946226589,483826.53454644483,1013844.5302371271,482931.10262306,1161639.7418918142,10,682983.4921587652,598405.1415001313,502997.2431475555,271258.2581187487,784671.0642535149,Paired t-test,10,0.7344200977752634,0.4813882548668581,False,0.24480669925842113,small
Cumulative Head Rotation,rad,10,21.835642076682326,8.263360998181327,22.07793370233475,15.193519227460492,25.442570568000686,10,16.793262467579773,6.034361656860351,15.531579789862723,13.204802742414934,18.0160284164807,Paired t-test (one-tailed: fog > nofog),10,1.8538150138433382,0.04838083703897507,True,0.6179383379477795,medium
Average Head Angular Speed,rad/s,10,1.280415676707864,0.48379968240633875,1.2943428625561624,0.8921620215772454,1.492607830009598,10,0.9860652113114696,0.35603996969564344,0.9099243830824687,0.77483711815154,1.0582532842706367,Paired t-test (one-tailed: fog > nofog),10,1.8426167013657697,0.049250495603758895,True,0.6142055671219232,medium
Peak Head Angular Speed,rad/s,10,727515.3825565396,466450.9626393566,612169.0541110731,417856.51185139176,853707.0599498958,10,449548.72684339463,304392.3022429977,298010.8579192238,274946.150339022,517243.359748565,Paired t-test,10,1.403952679335837,0.1938861060993952,False,0.46798422644527904,small
Yaw Range,rad,10,3.03636450070961,0.12803788902053506,3.0873182538792063,3.0142082477813044,3.106426907639912,10,2.8915996899926553,0.38358364650293525,3.061128859822908,2.8076843972988486,3.0917128154520426,Wilcoxon signed-rank,10,20.0,0.4921875,False,0.35566900613188657,small
Pitch Range,rad,10,6.271008873949509,0.009762477775403807,6.273367646753025,6.2669831578548045,6.277812968091447,10,6.27595429644708,0.007799750792518473,6.276764576549721,6.274374964152701,6.28133973861794,Paired t-test,10,-1.9846817628554656,0.07846588002216655,False,-0.6615605876184886,medium
Roll Range,rad,10,6.28093824070612,0.0016475723877253869,6.281321228245421,6.2808862056881924,6.281690194580685,10,6.27864489574997,0.005127474170088387,6.280086672741123,6.278783805729741,6.281617910304119,Paired t-test,10,1.2150072892162973,0.25527574444067697,False,0.40500242973876577,small
Cumulative Vertical Rotation (Pitch),rad,10,24.037163838535673,9.938771022889194,23.30421758149687,17.6703228267733,29.4911403787355,10,18.12010102108937,5.3358192455802715,16.89532567215594,14.846611880801804,22.636861806387508,Paired t-test (one-tailed: fog > nofog),10,1.928547840903859,0.042936086390835786,True,0.6428492803012864,medium
Cumulative Horizontal Rotation (Yaw),rad,10,16.81932656539565,6.282319177368662,18.106741934781446,11.105736566365366,20.86257343216213,10,12.958248812915418,5.812336712587458,13.41740273571039,9.494666828125958,15.224133509840138,Paired t-test (one-tailed: fog > nofog),10,1.9840257365513592,0.039274409241748444,True,0.6613419121837865,medium
Viewing Sphere Coverage,%,10,1.5697994247309692,0.1763163540239345,1.6376535030360408,1.4413940003998553,1.6953430171817168,10,1.4128503883614898,0.2716553009615585,1.5071383038264703,1.261758421212029,1.5877392966951458,Paired t-test (one-tailed: fog > nofog),10,1.5846518387369042,0.0737531224453611,False,0.5282172795789681,medium
Viewing Sphere Coverage (with FOV),%,10,83.95341632348678,11.599961514688701,89.18253347425349,72.96999046508779,91.20486203939113,10,69.97296432107252,12.38665266870444,69.18006209815991,66.5985552079719,76.23651601413422,Paired t-test (one-tailed: fog > nofog),10,3.1470094713901515,0.005897090426768397,True,1.0490031571300507,large
